,lon1,lat1,lon2,lat2,lon3,lat3,lon_center,lat_center,death_filtration_value,death_filtration_zscore,death_birth_ratio
0,-111.8147031,40.7245109,-111.8874306,40.7271348,-111.87971129999998,40.7155039,-111.86061500000001,40.7223832,5350.155322496067,-1.8292905736387766,1.0035213039632143
1,-111.8147031,40.7245109,-111.9011803,40.76756,-111.915034,40.7403281,-111.87697246666667,40.744133000000005,5842.1929710239365,-0.11934097596031697,1.0147741298864585
2,-111.9160122,40.7501355,-111.915034,40.7403281,-111.9226722,40.71699210000001,-111.91790613333336,40.73581856666667,5946.417271885609,0.24286362740681966,1.0139704442896502
3,-111.8266517,40.6965151,-111.915034,40.7403281,-111.9302784,40.7032379,-111.8906547,40.71336036666667,6049.8265747693995,0.6022359160749544,1.0074038813144188
4,-111.8147031,40.7245109,-111.9226722,40.71699210000001,-111.9302784,40.7032379,-111.88921790000002,40.71491363333334,6194.074422598094,1.1035320061173195,1.0050352733905161
