,lon1,lat1,lon2,lat2,lon3,lat3,lon_center,lat_center,death_filtration_value,death_filtration_zscore,death_birth_ratio
0,-84.38156740000002,33.8881534,-84.35939809999998,33.8981377,-84.3514355,33.8963993,-84.36413366666667,33.89423013333334,3366.642576529184,-1.652331661065712,1.0478966265320229
1,-84.3160271,33.8629815,-84.322011,33.874336,-84.33468979999998,33.8595819,-84.32424263333333,33.86563313333333,3476.119684147964,-1.4982337753065376,1.0409097864262655
2,-84.3900209,33.8194357,-84.386319,33.8418161,-84.3799277,33.8403417,-84.38542253333333,33.833864500000004,3618.0964415395783,-1.298390003244387,1.045708968966143
3,-84.2993407,33.8960162,-84.320078,33.9145217,-84.3322279,33.9092871,-84.31721553333333,33.90660833333333,3759.599027688995,-1.0992136655664626,1.0462534104060197
4,-84.3139762,33.8370713,-84.3196074,33.8479799,-84.3160271,33.8629815,-84.3165369,33.84934423333333,3780.800367376929,-1.0693710647503243,1.001535682936011
5,-84.3728513,33.7885025,-84.36589029999998,33.8080596,-84.369258,33.7822276,-84.36933319999999,33.7929299,3782.9172223016153,-1.0663914201885685,1.0423874788491043
6,-84.3078511,33.814313,-84.2695054,33.8393257,-84.30390440000002,33.8329122,-84.29375363333334,33.8288503,3789.2999130748194,-1.057407266560485,1.024806319078966
7,-84.3551871,33.7740557,-84.3623378,33.7824558,-84.35613559999999,33.7935246,-84.35788683333334,33.783345366666666,3789.5435347030566,-1.0570643494095562,1.020453999099323
8,-84.369258,33.7822276,-84.3623378,33.7824558,-84.36554129999998,33.772597,-84.36571236666666,33.779093466666666,3791.1937190038334,-1.0547415815049805,1.0181154899290565
9,-84.2628186,33.8799001,-84.2993407,33.8960162,-84.2920628,33.8692207,-84.2847407,33.88171233333333,3838.8349438062455,-0.9876827033823191,1.0363551110127764
10,-84.3551871,33.7740557,-84.36841609999998,33.7588934,-84.36554129999998,33.772597,-84.36304816666664,33.76851536666666,3909.2560965774487,-0.8885592337291557,1.0044426100964188
11,-84.3279287,33.8796535,-84.33468979999998,33.8595819,-84.3588465,33.8745945,-84.34048833333334,33.87127663333334,3919.4726147322344,-0.8741786579017885,1.0372300751946164
12,-84.3900209,33.8194357,-84.3898907,33.7968886,-84.3776797,33.8182601,-84.38586376666666,33.81152813333333,3927.7845276909584,-0.862478967971965,1.0194315876105593
