,JID,Jurisdiction,Precinct,Precinct Description,Polling Place Name,Description,Address Line 1,Address Line 2,City,State,Zip,Accessible,lon,lat
3154,105,City of Chicago,2205,PRECINCT 22 WARD 5,REGENTS PARK APARTMENTS,APARTMENT BUILDING,5050 SLAKE SHORE DR,-1,Chicago,-1.0,60615,Y,-87.58528319999999,41.8032298
3155,105,City of Chicago,2329,PRECINCT 23 WARD 29,SAYRE SCHOOL,PUBLIC SCHOOL,1850 NNEWLAND AVE,-1,Chicago,-1.0,60707,Y,-87.7991567,41.9137437
3156,105,City of Chicago,236,PRECINCT 2 WARD 36,PARKVIEW VILLA BANQUETS,BUSINESS,6155 WFULLERTON AVE,-1,Chicago,-1.0,60639,Y,-87.780295,41.9234572
3157,105,City of Chicago,2411,PRECINCT 24 WARD 11,NATIVITY OF OUR LORD,CHURCH,653 W37TH ST,-1,Chicago,-1.0,60609,Y,-87.6432368,41.8267459
3158,105,City of Chicago,2427,PRECINCT 24 WARD 27,YOUTH CENTER COGIC,CHURCH,3679 WGRAND AVE,-1,Chicago,-1.0,60651,N,-87.71938999999999,41.9032404
3159,105,City of Chicago,2439,PRECINCT 24 WARD 39,COLLETTIS,BUSINESS,5707 NCENTRAL AVE,-1,Chicago,-1.0,60646,Y,-87.76799249999999,41.9852821
3160,105,City of Chicago,2541,PRECINCT 25 WARD 41,ST JOSEPH UKRANIAN CHURCH,CHURCH,5000 NCUMBERLAND AVE,-1,Chicago,-1.0,60656,Y,-87.8372469,41.9705423
3161,105,City of Chicago,2717,PRECINCT 27 WARD 17,ZION HILL BAPT CHURCH,CHURCH,1460 W78TH ST,-1,Chicago,-1.0,60620,N,-87.66097099999999,41.7525951
3162,105,City of Chicago,2929,PRECINCT 29 WARD 29,DEVER SCHOOL,PUBLIC SCHOOL,3436 NOSCEOLA AVE,-1,Chicago,-1.0,60634,Y,-87.81359789999999,41.9425293
3163,105,City of Chicago,2937,PRECINCT 29 WARD 37,HAMLETT ISOM CME CHURCH,CHURCH,5446 WDIVISION ST,-1,Chicago,-1.0,60651,Y,-87.7628555,41.90243479999999
3164,105,City of Chicago,3007,PRECINCT 30 WARD 7,BOWEN HIGH SCHOOL,PUBLIC SCHOOL,2710 E89TH ST,-1,Chicago,-1.0,60617,Y,-87.55750200000001,41.733777
3165,105,City of Chicago,301,PRECINCT 3 WARD 1,WELLS COMMUNITY ACADEMY,PUBLIC SCHOOL,936 NASHLAND AVE,-1,Chicago,-1.0,60622,Y,-87.6677931,41.89933509999999
3166,105,City of Chicago,3205,PRECINCT 32 WARD 5,SENIOR SUITES OF SOUTH SHORE,SENIOR RESIDENCE,2355 E67TH ST,-1,Chicago,-1.0,60649,Y,-87.567888,41.77335900000001
3167,105,City of Chicago,3248,PRECINCT 32 WARD 48,METROPOLIS COFFEE CO,BUSINESS,1039 WGRANVILLE AVE,-1,Chicago,-1.0,60640,Y,-87.65727249999999,41.9943858
3168,105,City of Chicago,3309,PRECINCT 33 WARD 9,ALDRIDGE SCHOOL,PUBLIC SCHOOL,630 E131ST ST,-1,Chicago,-1.0,60627,Y,-87.60686779999999,41.6577059
3169,105,City of Chicago,343,PRECINCT 3 WARD 43,LINCOLN PARK HIGH SCHOOL,PUBLIC SCHOOL,2001 NORCHARD ST,-1,Chicago,-1.0,60614,Y,-87.64587949999999,41.9185079
