,lon1,lat1,lon2,lat2,lon3,lat3,lon_center,lat_center,death_filtration_value,death_filtration_zscore,death_birth_ratio
97,-87.702645,41.7447081,-87.71980140000002,41.7372457,-87.6732541,41.7403193,-87.69856683333335,41.7407577,3928.4929570459153,-0.05027161161566159,1.0044035541167289
98,-87.6518916,41.8874596,-87.6395325,41.8933785,-87.6364135,41.89048250000001,-87.64261253333332,41.8904402,3929.517083703798,-0.04801473113235887,1.0162910718866036
99,-87.7117197,41.9892466,-87.7007878,41.988255,-87.70941040000002,41.97109,-87.70730596666667,41.98286386666667,3932.910165011636,-0.04053735621688751,1.027844493687976
100,-87.7019812,41.9739995,-87.6796214,41.9684019,-87.7062926,41.9649509,-87.69596506666667,41.96911743333333,3939.044333764146,-0.027019413262989928,1.042848807392894
101,-87.6090724,41.7759579,-87.63135,41.7691907,-87.6143344,41.7510125,-87.61825226666667,41.76538703333333,3952.622919022354,0.002903881696898779,1.0444264162421426
102,-87.6395325,41.8933785,-87.66203979999997,41.8966243,-87.665066,41.8916477,-87.6555461,41.8938835,3954.0372077720303,0.00602056716966832,1.0439054974353483
103,-87.7952768,41.9364869,-87.7971244,41.9208169,-87.7802533,41.9234544,-87.79088483333332,41.926919399999996,3958.270874906234,0.015350351385751013,1.0509253077898426
104,-87.6947487,41.8144785,-87.6894698,41.7910374,-87.68298320000002,41.8234441,-87.68906723333336,41.80965333333334,3976.006847222125,0.05443533122104125,1.0429586288162016
105,-87.7291974,41.9969403,-87.7372382,41.9881923,-87.7250766,41.971517,-87.73050406666667,41.98554986666666,3987.519186559648,0.07980521469007139,1.0262280292702837
106,-87.7952768,41.9364869,-87.7971244,41.9208169,-87.81072420000002,41.9236964,-87.80104180000001,41.927000066666665,3999.3469619681027,0.10587022849941259,1.0766787621764287
107,-87.7141059,41.90418250000001,-87.7080979,41.8922837,-87.690467,41.891024,-87.7042236,41.89583006666667,4003.755676765282,0.11558576739844995,1.0154605783994086
108,-87.7141059,41.90418250000001,-87.6941189,41.9070034,-87.7030079,41.907065,-87.70374423333335,41.90608363333334,4010.0137462646026,0.1293767519485128,1.0175648919170057
109,-87.7080979,41.8922837,-87.690467,41.891024,-87.69674549999998,41.8856586,-87.6984368,41.88965543333333,4010.710881149124,0.13091303664825724,1.050797963839072
110,-87.6811886,41.7685356,-87.7030345,41.7706056,-87.6894698,41.7910374,-87.69123096666665,41.776726200000006,4023.9751116441676,0.160143584159031,1.1540462741447692
111,-87.6284328,41.7237393,-87.63953620000002,41.7353191,-87.63228840000002,41.7578672,-87.63341913333335,41.7389752,4025.47750611247,0.16345442928510528,1.1167884641310915
112,-87.6409625,41.8303859,-87.6437655,41.8179027,-87.68298320000002,41.8234441,-87.65590373333336,41.8239109,4026.074986944452,0.1647711051263878,1.0314267019261367
113,-87.7391148,41.9442669,-87.77702509999997,41.9429136,-87.7586122,41.96451,-87.7582507,41.950563499999994,4042.512762315105,0.20099523242294232,1.1053651985415824
114,-87.6518916,41.8874596,-87.6683237,41.8806669,-87.6568014,41.8793005,-87.65900556666668,41.88247566666667,4045.6025695931485,0.20780427863740056,1.0338802549693582
115,-87.65535609999998,41.7750512,-87.6591778,41.7833241,-87.6342933,41.7819938,-87.64960906666667,41.78012303333334,4046.458805282485,0.2096911757330842,1.0201513610908017
116,-87.7131437,41.9124946,-87.7034441,41.9250866,-87.6943465,41.9181631,-87.70364476666666,41.91858143333334,4049.688533753363,0.21680856799720183,1.0193018308057789
117,-87.7030345,41.7706056,-87.68145820000002,41.7778253,-87.6894698,41.7910374,-87.69132083333332,41.77982276666666,4055.652320436557,0.2299510378941447,1.0588669801211599
118,-87.6421575,41.879941,-87.661912,41.8784788,-87.6365158,41.8788808,-87.64686176666667,41.879100199999996,4060.503444747613,0.24064152006783482,1.0168885733292645
119,-87.6090724,41.7759579,-87.6271603,41.7657266,-87.6143344,41.7510125,-87.6168557,41.76423233333333,4068.216529683587,0.2576389399905263,1.073751475239172
120,-87.6979346,41.8178171,-87.705321,41.8416567,-87.69634920000001,41.8525346,-87.69986826666667,41.83733613333334,4082.3630683636547,0.2888138408756726,1.012634532395476
121,-87.6866953,41.9493403,-87.7059845,41.9516974,-87.7044449,41.94168370000001,-87.69904156666666,41.9475738,4093.165627314971,0.3126195725977182,1.0650528735169018
122,-87.6788026,41.8316254,-87.6811453,41.8317132,-87.66289090000002,41.8436755,-87.67427960000002,41.835671366666666,4094.7096878017383,0.31602223763997767,1.0264462168469242
123,-87.71981770000002,41.6957018,-87.70517629999998,41.69651320000001,-87.71980140000002,41.7372457,-87.7149318,41.70982023333334,4097.324070034122,0.3217835838472509,1.1135106172208484
124,-87.7744794,41.9021038,-87.7541033,41.89474110000001,-87.76030390000003,41.9132661,-87.76296220000002,41.903370333333335,4103.880182465071,0.33623136926310543,1.0543783639100275
125,-87.705321,41.8416567,-87.69634920000001,41.8525346,-87.7100587,41.8643646,-87.70390963333332,41.85285196666667,4119.471596406358,0.3705903594918434,1.031784829818412
126,-87.7597205,41.8569905,-87.75272109999997,41.8725407,-87.7310938,41.8662235,-87.74784513333333,41.86525156666666,4129.310998479474,0.39227357058224804,1.010600437791658
127,-87.864794,41.9548287,-87.87683879999999,41.944177,-87.8690152,41.9228061,-87.87021599999999,41.940603933333335,4135.576522733772,0.4060809832673351,1.0246893356857645
128,-87.7952768,41.9364869,-87.8146178,41.9526142,-87.7883228,41.9588516,-87.7994058,41.94931756666668,4140.902664084246,0.41781826631984853,1.1657939903175536
129,-87.666424,41.9890169,-87.7007878,41.988255,-87.6843911,41.9954315,-87.68386763333335,41.99090113333333,4172.292691142751,0.48699285414391946,1.1816065490902306
130,-87.7053303,41.7975656,-87.7116427,41.795206,-87.6979346,41.8178171,-87.7049692,41.80352956666666,4173.395983308066,0.4894241926274112,1.1521198904713075
131,-87.6753125,41.9390936,-87.692638,41.932303,-87.6608497,41.9290552,-87.67626673333332,41.933483933333335,4179.974830838299,0.5039220796605454,1.0299284824188808
132,-87.6753125,41.9390936,-87.65749,41.94236220000001,-87.6608497,41.9290552,-87.66455073333334,41.93683700000001,4179.974830838299,0.5039220796605454,1.0412590342158417
133,-87.6271603,41.7657266,-87.6143344,41.7510125,-87.5904757,41.7674131,-87.6106568,41.761384066666665,4187.025224437724,0.519459118552826,1.1415930614094512
