,lon1,lat1,lon2,lat2,lon3,lat3,lon_center,lat_center,death_filtration_value,death_filtration_zscore,death_birth_ratio
0,-81.4190698,30.3324166,-81.4030068,30.3320826,-81.465275,30.3202927,-81.42911720000001,30.328263966666665,2941.3252282511003,-0.7716341574372955,1.0363804498455123
1,-81.49071140000002,30.328079,-81.465275,30.3202927,-81.5370554,30.3327725,-81.49768060000001,30.327048066666666,3014.432736297441,-0.7047502823192873,1.0140314448754468
2,-81.72758909999997,30.2890956,-81.74475759999999,30.3078069,-81.7057207,30.3239716,-81.72602246666665,30.30695803333333,3031.486537330982,-0.6891482692142622,1.074151656671384
3,-81.597543,30.170543,-81.6188031,30.1765352,-81.6216018,30.1601092,-81.6126493,30.169062466666666,3050.109087313359,-0.672111054560322,1.0394974795910463
4,-81.715126,30.33069,-81.7197652,30.3198696,-81.7057207,30.3239716,-81.7135373,30.32484373333334,3077.6473803412355,-0.6469170929405099,1.0299193172780368
5,-81.7569108,30.2491531,-81.7592184,30.2694375,-81.72758909999997,30.2890956,-81.74790609999998,30.26922873333333,3144.465254328423,-0.585787416128423,1.0461840269423583
6,-81.6541485,30.3091615,-81.6797348,30.3163407,-81.67430159999998,30.3364331,-81.66939496666666,30.320645100000004,3161.3688020614845,-0.5703228652793808,1.0391849990561586
7,-81.6208903,30.2052403,-81.6094155,30.1831975,-81.6216018,30.1601092,-81.61730253333333,30.182849,3184.7744685058833,-0.5489097202638425,1.049908803103625
8,-81.604392,30.3620834,-81.5809902,30.3510204,-81.59658459999999,30.3341893,-81.59398893333332,30.349097699999998,3189.9329654954972,-0.5441903654715651,1.143467122729512
9,-81.6777168,30.3613614,-81.65446290000001,30.3460789,-81.67430159999998,30.3364331,-81.66882709999999,30.347957799999996,3208.413393846641,-0.5272831736523375,1.193514502811711
10,-81.4136554,30.3576499,-81.4004657,30.3259625,-81.465275,30.3202927,-81.42646536666666,30.33463503333333,3251.2476465301106,-0.4880953954909153,1.100824219985568
11,-81.83177629999999,30.2766008,-81.805986,30.30045,-81.8450191,30.3160313,-81.8275938,30.297694033333332,3251.2672517321016,-0.4880774592772942,1.0294689084959252
12,-81.6051763,30.3239111,-81.6060113,30.3111968,-81.6323996,30.3040184,-81.61452906666666,30.313042099999997,3342.920230558443,-0.4042268869649567,1.1174934067459716
13,-81.6051763,30.3239111,-81.6060113,30.3111968,-81.65446290000001,30.3460789,-81.6218835,30.327062266666665,3405.3349961028844,-0.34712548252988745,1.0032116158780344
14,-81.715126,30.33069,-81.75247759999998,30.3391666,-81.74475759999999,30.3078069,-81.73745373333331,30.325887833333333,3410.527676279632,-0.34237485456088046,1.0891747652636714
15,-81.4050347,30.2956189,-81.465275,30.3202927,-81.4733041,30.2882186,-81.44787126666668,30.30137673333333,3412.8129424844883,-0.34028413277947156,1.0098904370607755
16,-81.71087469999998,30.3779794,-81.6777168,30.3613614,-81.6650791,30.3913091,-81.68455686666665,30.376883300000006,3416.42044242584,-0.3369837388525899,1.1092951136529046
17,-81.6758654,30.4344804,-81.6650791,30.3913091,-81.6885813,30.4143657,-81.67650859999999,30.413385066666667,3452.28055882848,-0.30417638963106947,1.1271752585328525
18,-81.763746,30.2302633,-81.7920612,30.2372693,-81.78039559999998,30.2616677,-81.77873426666666,30.243066766666665,3504.911704834606,-0.2560257264384455,1.0215661486798455
19,-81.5958833,30.2415867,-81.6017449,30.233279,-81.6053125,30.2848944,-81.60098023333333,30.253253366666666,3553.627460778969,-0.2114571366460426,1.0033984151205229
20,-81.7637907,30.2033449,-81.763746,30.2302633,-81.73810870000001,30.2037731,-81.75521513333332,30.212460433333337,3564.716223898301,-0.20131235853082563,1.1782364661877074
