,lon1,lat1,lon2,lat2,lon3,lat3,lon_center,lat_center,death_filtration_value,death_filtration_zscore,death_birth_ratio
204,-73.9316585,40.6789227,-73.919862,40.6730157,-73.9223832,40.6854939,-73.92463456666667,40.679144099999995,4466.613884066789,1.0559913304396804,0.49524343304710433
205,-73.9086608,40.6776074,-73.9316585,40.6789227,-73.919862,40.6730157,-73.92006043333333,40.67651526666666,4466.613884066789,1.1099979572616594,0.49524343304710433
206,-73.75680770000002,40.6859975,-73.72971940000002,40.6848405,-73.7461497,40.6983284,-73.74422560000002,40.68972213333334,4467.470039590125,1.04287820832148,0.49663679215204826
207,-73.9067261,40.6487279,-73.9080304,40.6425436,-73.9066342,40.6558268,-73.90713023333332,40.649032766666664,4473.344674588545,1.0274375196343322,0.5061975272523392
208,-73.83926729999997,40.6967154,-73.8309215,40.6793212,-73.8412316,40.6892738,-73.83714013333334,40.6884368,4476.5150394435495,1.0161940838790002,0.511357170116641
209,-73.95999909999998,40.5756188,-73.9552235,40.6045068,-73.9654633,40.6022858,-73.96022863333333,40.594137133333334,4526.421829362029,1.0417494773346998,0.5925784882487172
210,-73.7760541,40.6822485,-73.7780305,40.692379,-73.75680770000002,40.6859975,-73.77029743333334,40.686875,4537.307555166927,1.0303837470352404,0.6102945745797039
211,-73.8940022,40.7613375,-73.8942583,40.7700942,-73.8738365,40.7624248,-73.88736566666668,40.76461883333334,4540.264728477819,1.0007388537168025,0.615107256674624
212,-73.9049161,40.7586944,-73.8940022,40.7613375,-73.906108,40.77118220000001,-73.90167543333334,40.76373803333335,4567.751958017723,1.0242502094414385,0.6598416308685315
213,-73.7850624,40.7276271,-73.785015,40.7143469,-73.79880390000002,40.71621070000001,-73.7896271,40.719394900000005,4589.405016368188,1.0393963174128695,0.6950811232039079
214,-73.768838,40.6734479,-73.75817420000001,40.6675872,-73.75680770000002,40.6859975,-73.7612733,40.675677533333335,4590.068299659202,1.0900840636906455,0.6961605904122614
215,-73.7363585,40.6749904,-73.7532099,40.6813928,-73.72971940000002,40.6848405,-73.7397626,40.6804079,4593.636330935252,1.0803576760232976,0.7019674195802083
216,-73.8839776,40.7034877,-73.9051505,40.7113153,-73.89815970000002,40.6994923,-73.89576260000001,40.7047651,4594.246458305881,1.2296206218444226,0.7029603776396606
217,-73.7344343,40.6599832,-73.75817420000001,40.6675872,-73.7363585,40.6749904,-73.74298900000001,40.66752026666666,4597.177060156224,1.0096174716877273,0.7077298157380429
218,-73.9459934,40.6480961,-73.9573817,40.6460037,-73.951458,40.6308935,-73.95161103333334,40.64166443333333,4618.788159621463,1.0132903233850843,0.7429010216544584
219,-73.8518454,40.7365,-73.8517865,40.72310510000001,-73.81766529999999,40.7296723,-73.8404324,40.72975913333334,4623.630016583748,1.0010495037226146,0.7507809515262488
220,-73.8071912,40.6952004,-73.821065,40.690426,-73.8354709,40.6991063,-73.82124236666667,40.6949109,4675.299564212957,1.0681902916778334,0.8348710878100595
221,-73.82172159999998,40.6797868,-73.821065,40.690426,-73.8309215,40.6793212,-73.82456936666665,40.683178,4689.617098425651,1.183363188417853,0.8581723060021262
222,-73.827742,40.711486,-73.8517865,40.72310510000001,-73.81766529999999,40.7296723,-73.83239793333333,40.72142113333334,4745.518043735861,1.1302302168983367,0.949148873926868
223,-73.9086608,40.6776074,-73.90792409999997,40.6809028,-73.8843103,40.6812345,-73.90029840000001,40.6799149,4748.986677657344,1.0155285023258949,0.9547939378486446
224,-73.9233202,40.7457471,-73.946414,40.7485509,-73.9251031,40.756089,-73.93161243333334,40.750129,4776.620948717404,1.0359950570190888,0.999767616275636
225,-73.8518454,40.7365,-73.8605558,40.749081,-73.8261965,40.75456550000001,-73.84619923333332,40.74671550000001,4779.04963906781,1.1085877931644028,1.0037202133454308
226,-73.90039209999998,40.7529503,-73.91867409999998,40.7408445,-73.9233202,40.7457471,-73.9141288,40.74651396666667,4780.158817375985,1.0996640462819987,1.0055253569818101
227,-73.9535755,40.7312744,-73.946414,40.7485509,-73.9262918,40.7396605,-73.94209376666667,40.739828599999996,4795.022963466729,1.102930002198255,1.0297161642921997
228,-73.9663816,40.6497568,-73.9534785,40.6481939,-73.9514618,40.6563887,-73.9571073,40.65144646666667,4813.604364105875,1.0487079370612185,1.0599566557186537
229,-74.004217,40.6555967,-73.99048370000001,40.6335019,-73.9827275,40.6564072,-73.99247606666668,40.64850193333332,4815.73614816943,1.1486896009751324,1.0634260496006824
230,-73.79021230000002,40.674555,-73.8071912,40.6952004,-73.7908532,40.6940295,-73.79608556666668,40.687928299999996,4818.520221964124,1.1052937889396206,1.0679570191090684
231,-73.79021230000002,40.674555,-73.80123950000002,40.6837829,-73.816818,40.6750888,-73.80275660000001,40.6778089,4878.471566441167,1.023075704291017,1.1655254507827832
232,-73.9042458,40.7161348,-73.8972088,40.7344927,-73.91867409999998,40.7408445,-73.90670956666665,40.73049066666667,4883.422242041515,1.0270997971448066,1.1735824786653903
233,-73.90649640000002,40.7459848,-73.93401429999999,40.7572054,-73.9233202,40.7457471,-73.92127696666667,40.74964576666667,4906.491052642765,1.0111477488704812,1.2111260515506284
234,-73.9080304,40.6425436,-73.9205058,40.6580682,-73.9333185,40.636395,-73.92061823333334,40.64566893333334,4929.189333779152,1.1165351648003974,1.2480666024504399
235,-73.85354659999999,40.700309,-73.8244673,40.7026728,-73.827742,40.711486,-73.83525196666668,40.70482260000001,4950.843909503023,1.2857214252101439,1.28330856425076
236,-73.85354659999999,40.700309,-73.8412316,40.6892738,-73.87136729999997,40.6814808,-73.85538183333333,40.690354533333334,4968.076327792228,1.0038008560764566,1.3113536404886588
237,-73.89815970000002,40.6994923,-73.9086608,40.6776074,-73.8772373,40.6833999,-73.89468593333332,40.6868332,4982.490060647654,1.0704207432482786,1.3348114181504485
238,-73.8839776,40.7034877,-73.89815970000002,40.6994923,-73.8772373,40.6833999,-73.88645820000002,40.69545996666667,4986.334251017294,1.2942121593847897,1.3410676852732755
239,-73.9459934,40.6480961,-73.9333185,40.636395,-73.951458,40.6308935,-73.94358996666666,40.638461533333334,5204.428381337935,1.2255006961983816,1.6960072189608995
240,-73.9595858,40.6648721,-73.97133769999998,40.6445569,-73.97864109999998,40.6693177,-73.96985486666665,40.65958223333333,5330.725723415587,1.3328068477316788,1.9015511262504823
